cohort,seed,valence_name,zone3,n,body_state,body_u,pred_UP_minus_DOWN,true_UP_minus_DOWN,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
full,12,mid,MM,200.0,0.4851400472223758,-0.0604305681513163,0.0279313891381025,0.0026189938991638,0.1182215133681893,0.1334099588821404,0.0071275146212428,0.0182496049907058
full,12,mid,MR,200.0,0.5485059425979852,0.226114736718957,0.023421312123537,0.0022744004208101,0.1087166688591241,0.1302856827259237,0.0078625874174758,0.0259183097910136
full,12,top,TL,17.0,0.6534303531927221,0.6383220560792803,0.0051249195547664,0.0004983538036264,0.0425492652198847,0.0429476058304445,0.0198008312898523,0.0250317523365511
full,12,top,TM,200.0,0.5905743062496185,0.3888013088899836,0.008268995732069,0.000888603445343,0.0491825956851244,0.0609534886316078,0.0112809995561838,0.0178718883683905
full,12,top,TR,200.0,0.7233865870535374,1.04952896498031,0.0055426450073719,0.0005438753943172,0.0424596676602959,0.0494169263066247,0.0089640935324132,0.0154850552607967
full,13,bottom,BL,10.0,0.591937905550003,0.3947481445746458,0.0130558252334594,0.0015961046921792,0.1349599555134773,0.1017033955778318,0.0562916196882724,0.0230350576341152
full,13,bottom,BM,68.0,0.3990846894243184,-0.4180615283353551,0.0073420677114935,0.0009644439119371,0.1076269457664559,0.0648606567311341,0.0543185652178876,0.0115522755419506
full,13,bottom,BR,184.0,0.3971435960544192,-0.4564009283432655,0.0082996333746806,0.0012320755349045,0.1198500928914417,0.0849541304185442,0.0416924923850709,0.0068238192116436
full,13,mid,ML,68.0,0.5630038748769199,0.2735414240480661,0.0119761986767544,0.00244179845242,0.135284881819697,0.1321101690058876,0.0275688837282359,0.0256960428977275
full,13,mid,MM,200.0,0.5000805282592773,0.0005913652708428,0.0128254586458206,0.0026374436389822,0.1422160047292709,0.1332847761384556,0.0200567854754626,0.013059844803065
full,13,mid,MR,200.0,0.5472149084508419,0.2167135826537647,0.0114309223741292,0.002328175638682,0.1347787520289421,0.1309112567621289,0.0151891303295269,0.0136064014956355
full,13,top,TL,141.0,0.7534479663727132,1.2396768431986065,0.0034361318916293,0.0007462265911545,0.0707161705280449,0.0707103767784829,0.0152766153163521,0.0187643152688042
full,13,top,TM,200.0,0.6215731930732727,0.5295685801011567,0.0055441480875015,0.000942070896032,0.0843834176287055,0.0660410690913588,0.0152683807350695,0.0166022483326378
full,13,top,TR,200.0,0.7522255136817694,1.2198131338585971,0.0020936392992734,0.0004655431523041,0.062506846692413,0.0464419463797814,0.0075458627939224,0.0152991915435995
full,14,bottom,BL,1.0,0.4783959686756134,-0.0864699074600522,0.0141191482543945,0.001841507716699,0.1132129430770874,0.1057932677555679,0.0024300226941704,0.0049896538257598
full,14,bottom,BM,74.0,0.4335379463595313,-0.2693880734922528,0.0124927996783643,0.0015717038326892,0.0964241769869585,0.09502066953693,0.0184122045851639,0.0083787652689057
full,14,bottom,BR,183.0,0.4850343488604645,-0.0573470681187186,0.0126506288846333,0.0013272266851357,0.0970730439968447,0.086724396926167,0.0200070459402008,0.0113393839428333
full,14,mid,ML,8.0,0.497828122228384,-0.0086978227796143,0.0150034353137016,0.0025090689865233,0.1150231249630451,0.1291796543747584,0.0238778734346851,0.0362769295461475
full,14,mid,MM,200.0,0.4964606328308582,-0.0135243282298574,0.0175739087164402,0.0026265868023448,0.1283568361029028,0.133069063410102,0.0202574233664199,0.0215197001863271
full,14,mid,MR,200.0,0.5299898770451545,0.1428571344807158,0.0165964019298553,0.0024234011226569,0.1233819711953401,0.1315168938207738,0.0240298734093084,0.0277881500404328
full,14,top,TL,10.0,0.5743795514106751,0.3021866148047332,0.0009595513343811,0.0008518073809666,0.0318510673940181,0.0583103478708798,0.015413224697113,0.0397359382361173
full,14,top,TM,200.0,0.5817693465948105,0.3477227122332332,0.0061578045785427,0.001134282568209,0.0589140699058771,0.0731549478584182,0.0122750370670109,0.0306396552552178
full,14,top,TR,200.0,0.7379438206553459,1.117498158481628,0.0029152876138687,0.0005496517305497,0.0497957938630133,0.0514641925002112,0.0129397712368518,0.022364430403104
full,15,bottom,BL,3.0,0.4354987839857737,-0.2594771133999369,0.0057590802510579,0.0018116459790397,0.1068742051720619,0.1057932677555679,0.0136500283454855,0.0125690922141075
full,15,bottom,BM,54.0,0.431290986361327,-0.2775730565240636,0.002997362503299,0.0015983226732221,0.1008793584726474,0.096688646720708,0.0208776983846392,0.014437529499884
